revision_count,average_score,days_since_learning,days_since_last_revision,topic_complexity,retention_score
8,5.62,32,97,3,0.0
16,3.66,8,132,7,0.0
6,8.17,206,155,5,0.0
7,3.02,279,25,7,33.56
18,1.14,28,39,8,53.41999999999999
16,3.89,289,108,2,0.0
12,7.4,76,75,8,0.0
9,7.73,128,79,2,0.0
5,5.16,137,156,7,0.0
9,4.55,285,34,9,27.150000000000006
6,3.48,207,48,8,0.0
1,1.09,101,169,4,0.0
13,8.13,263,180,3,0.0
7,9.85,258,75,10,0.0
13,9.85,272,143,1,0.0
4,3.1,137,136,7,0.0
4,4.25,132,74,6,0.0
17,4.24,41,145,4,0.0
11,3.55,69,113,1,0.0
10,1.32,286,41,9,8.459999999999994
15,6.38,271,160,1,0.0
20,1.03,64,10,10,100.0
14,7.9,175,111,8,0.0
12,5.44,132,169,3,0.0
11,8.64,228,42,10,31.920000000000016
9,5.58,179,21,2,66.74000000000001
4,7.6,357,163,9,0.0
13,3.35,113,30,5,57.55
8,1.12,144,142,1,0.0
3,4.86,286,27,8,13.579999999999998
20,1.73,101,56,3,38.69
20,3.32,83,8,9,100.0
13,4.71,130,99,7,0.0
11,7.76,256,82,4,0.0
13,5.15,122,75,10,0.0
17,6.2,95,101,3,0.0
10,4.99,86,88,9,0.0
13,9.31,16,5,1,100.0
15,8.16,355,150,9,0.0
7,2.73,67,50,5,0.0
14,9.41,29,90,8,0.0
3,6.93,162,65,6,0.0
1,6.52,67,93,4,0.0
16,5.78,68,109,10,0.0
1,8.82,98,145,9,0.0
6,4.81,257,91,2,0.0
3,5.39,301,173,1,0.0
13,1.33,275,12,7,84.49
11,7.27,199,29,6,59.81
4,2.57,32,40,8,0.0
7,2.76,58,105,4,0.0
6,1.61,260,27,9,17.33
9,7.9,358,143,10,0.0
6,8.47,17,73,9,0.0
0,5.14,198,84,10,0.0
10,1.99,53,98,7,0.0
18,5.12,364,146,10,0.0
4,5.22,307,152,3,0.0
11,4.28,243,8,5,94.34
15,5.36,64,57,10,12.080000000000013
0,1.07,348,89,10,0.0
17,5.06,341,7,6,100.0
8,7.45,319,157,6,0.0
5,3.02,299,54,7,0.0
9,4.12,193,164,5,0.0
4,9.03,200,92,7,0.0
18,4.75,31,167,4,0.0
8,5.61,299,140,8,0.0
17,5.87,320,129,7,0.0
4,1.34,53,162,9,0.0
15,7.74,58,20,2,100.0
5,9.08,342,82,3,0.0
8,5.85,105,148,3,0.0
15,1.4,86,45,3,34.69999999999999
6,1.71,353,176,1,0.0
8,7.82,317,60,1,0.0
18,8.14,272,76,3,7.920000000000016
18,4.88,107,15,8,100.0
5,3.53,299,104,4,0.0
8,5.18,91,6,3,89.03999999999999
16,1.79,177,120,5,0.0
7,2.06,327,103,5,0.0
2,6.49,310,11,4,51.47
16,4.6,337,30,6,74.80000000000001
14,5.28,323,55,3,21.340000000000003
5,3.02,106,167,6,0.0
20,7.44,110,29,8,100.0
1,3.84,181,149,10,0.0
1,1.71,311,77,4,0.0
17,1.4,199,41,6,48.19999999999999
3,8.78,263,79,3,0.0
4,6.78,247,142,5,0.0
4,6.44,175,163,2,0.0
12,3.03,146,106,3,0.0
2,5.42,176,18,4,34.25999999999999
20,9.28,15,81,5,8.340000000000003
18,5.56,25,63,7,20.180000000000007
1,6.32,102,94,4,0.0
3,3.01,79,52,6,0.0
18,1.23,362,86,7,0.0
0,9.94,306,34,10,0.0
17,3.22,230,76,1,0.0
9,8.92,96,96,3,0.0
7,2.59,43,71,10,0.0
1,9.59,133,81,8,0.0
6,4.12,301,98,10,0.0
18,6.48,359,52,4,49.44
3,9.55,328,124,4,0.0
14,1.61,289,2,2,100.0
6,8.06,55,28,2,45.18000000000001
12,4.94,343,107,6,0.0
1,9.15,110,163,10,0.0
18,3.44,69,39,3,67.82
5,5.49,274,102,7,0.0
6,3.28,30,172,7,0.0
7,9.3,25,92,6,0.0
4,5.9,162,105,4,0.0
2,8.26,169,33,6,9.780000000000001
20,7.93,240,53,6,58.78999999999999
2,4.54,41,20,4,27.620000000000005
8,8.84,336,99,4,0.0
6,1.58,9,138,5,0.0
18,5.12,42,180,7,0.0
16,1.65,47,118,4,0.0
4,6.38,60,67,8,0.0
10,6.7,357,16,10,73.1
14,2.39,305,134,9,0.0
4,9.15,5,102,4,0.0
4,4.41,308,68,6,0.0
17,6.96,26,160,7,0.0
8,8.06,91,60,7,0.0
9,6.47,212,158,3,0.0
6,3.54,149,56,4,0.0
3,7.36,69,170,9,0.0
6,6.77,80,130,9,0.0
10,3.5,111,85,5,0.0
2,4.68,298,136,1,0.0
10,7.59,312,157,1,0.0
16,4.34,338,158,3,0.0
11,9.4,264,77,9,0.0
1,4.1,206,169,1,0.0
14,4.99,208,14,2,100.0
6,6.36,13,56,10,0.0
6,5.62,233,26,5,37.36
11,5.54,114,170,9,0.0
4,8.53,262,69,3,0.0
7,9.83,243,95,5,0.0
17,5.15,284,2,4,100.0
14,6.69,255,60,1,18.569999999999993
15,7.3,278,157,8,0.0
19,8.22,347,92,10,0.0
2,1.92,144,134,6,0.0
18,9.52,247,30,5,100.0
6,8.95,22,152,2,0.0
3,5.03,318,17,10,31.090000000000003
9,8.7,294,37,5,39.599999999999994
17,3.37,294,165,5,0.0
10,6.41,353,74,1,0.0
9,7.96,76,113,6,0.0
3,2.47,36,79,8,0.0
15,3.56,63,33,10,54.68000000000001
3,4.64,202,80,6,0.0
7,8.93,186,166,3,0.0
8,9.58,83,171,8,0.0
1,7.85,77,115,7,0.0
5,8.96,9,25,6,42.879999999999995
12,2.04,228,1,4,100.0
10,5.82,167,11,5,87.96000000000001
7,6.71,45,2,6,92.13
12,9.54,214,63,9,0.0
0,3.41,280,47,6,0.0
12,2.11,355,23,10,55.33
6,7.92,258,128,6,0.0
9,4.22,227,32,5,36.16
7,6.0,130,1,5,93.5
20,1.26,278,97,5,0.0
3,3.74,281,59,7,0.0
2,9.89,174,39,3,7.170000000000002
2,5.66,365,97,5,0.0
11,6.76,121,114,4,0.0
8,2.28,92,152,7,0.0
19,5.97,224,158,10,0.0
14,5.09,34,123,1,0.0
13,7.92,20,175,10,0.0
2,6.61,243,93,2,0.0
10,8.97,316,176,5,0.0
9,2.44,244,84,6,0.0
2,9.84,260,142,10,0.0
11,9.85,312,143,3,0.0
3,3.35,303,94,4,0.0
13,3.84,226,93,9,0.0
5,7.84,345,68,3,0.0
7,8.85,181,31,6,40.55
2,9.56,313,174,9,0.0
8,5.76,177,36,2,32.28
4,4.69,198,1,1,80.57
20,8.38,300,7,7,100.0
17,7.65,153,81,10,0.0
6,7.31,24,174,9,0.0
1,5.51,243,146,3,0.0
15,8.29,205,54,10,26.870000000000005
7,2.37,121,52,4,0.0
8,1.59,55,25,6,35.769999999999996
14,5.05,71,149,2,0.0
9,2.12,120,55,2,0.0
5,8.89,281,177,1,0.0
9,7.67,80,102,2,0.0
13,4.28,303,142,6,0.0
7,2.23,62,121,3,0.0
10,2.0,61,172,9,0.0
19,2.88,106,102,3,0.0
1,4.62,315,177,5,0.0
20,1.39,181,159,8,0.0
0,2.64,29,125,9,0.0
13,4.04,143,73,5,0.0
4,5.35,234,59,4,0.0
10,4.73,196,17,2,77.19
9,9.22,270,69,10,0.0
11,2.84,168,91,6,0.0
19,4.6,46,5,7,100.0
5,4.7,16,169,10,0.0
19,1.42,292,151,10,0.0
11,6.08,160,49,2,22.24000000000001
18,3.93,253,74,3,0.0
6,7.78,146,172,2,0.0
13,3.74,186,110,5,0.0
3,3.74,25,141,3,0.0
10,4.4,316,84,7,0.0
7,5.6,187,20,6,52.8
3,6.04,170,108,6,0.0
5,9.35,276,83,10,0.0
15,6.44,184,124,7,0.0
7,6.01,84,157,4,0.0
13,4.22,256,18,1,90.16
12,4.39,83,97,9,0.0
9,9.48,250,29,10,50.44
11,6.69,140,111,2,0.0
17,6.13,75,30,1,91.88999999999999
14,3.05,138,30,4,63.150000000000006
2,4.34,93,56,6,0.0
19,6.46,286,156,8,0.0
3,2.07,161,62,8,0.0
16,7.95,147,59,1,34.349999999999994
17,1.3,7,99,3,0.0
7,6.58,85,125,8,0.0
15,3.5,278,130,10,0.0
9,9.58,9,155,3,0.0
9,9.79,153,21,6,73.37
3,5.77,234,81,10,0.0
19,8.69,265,122,3,0.0
18,1.0,119,179,7,0.0
16,2.42,233,4,10,100.0
1,8.62,280,174,1,0.0
1,7.42,276,147,7,0.0
20,1.85,15,116,3,0.0
18,9.29,159,149,5,0.0
0,6.4,343,164,3,0.0
16,7.0,101,158,7,0.0
14,3.61,11,91,4,0.0
15,6.38,228,79,5,0.0
14,7.24,356,94,7,0.0
14,6.48,274,22,6,86.44
17,1.75,231,146,7,0.0
8,2.19,53,118,8,0.0
18,3.06,152,113,2,0.0
13,5.14,187,45,2,37.41999999999999
18,7.05,110,53,5,47.650000000000006
2,7.43,89,51,5,0.0
8,3.07,230,46,7,0.0
8,8.12,90,129,1,0.0
7,2.96,106,75,4,0.0
4,7.56,147,115,3,0.0
9,5.74,188,56,10,0.0
7,3.83,52,169,2,0.0
5,7.31,127,7,4,76.93
11,7.82,245,129,9,0.0
13,3.53,142,84,10,0.0
3,8.04,197,94,3,0.0
5,4.53,28,124,3,0.0
9,6.38,263,132,5,0.0
13,4.78,99,42,4,39.34
3,6.87,126,32,1,20.11
9,1.09,130,134,4,0.0
20,6.62,323,107,7,0.0
11,6.22,45,99,9,0.0
16,7.85,217,124,4,0.0
0,8.34,15,172,4,0.0
19,5.7,171,13,4,100.0
0,3.37,192,46,3,0.0
15,7.51,317,174,8,0.0
8,4.91,191,156,6,0.0
17,6.55,360,164,4,0.0
2,1.51,19,68,9,0.0
6,8.37,2,162,3,0.0
17,5.51,107,14,9,100.0
19,8.04,170,144,3,0.0
7,1.78,218,82,1,0.0
16,1.67,159,93,1,0.0
9,8.86,347,169,4,0.0
7,3.07,342,149,10,0.0
13,3.95,101,176,8,0.0
17,7.51,166,109,10,0.0
13,7.63,182,164,5,0.0
2,7.5,8,88,6,0.0
13,3.24,125,122,4,0.0
11,4.24,333,146,10,0.0
15,1.22,12,56,7,6.159999999999997
13,8.99,364,167,2,0.0
12,8.45,221,145,6,0.0
8,7.75,272,26,4,55.25
7,8.61,348,100,10,0.0
6,4.16,180,13,2,63.480000000000004
19,7.18,244,36,3,90.03999999999999
8,1.6,41,133,3,0.0
6,1.99,84,62,3,0.0
4,9.38,43,167,6,0.0
18,3.79,255,46,5,51.870000000000005
19,9.33,236,147,10,0.0
12,6.38,163,95,7,0.0
0,7.94,217,7,2,56.81999999999999
0,1.9,276,116,5,0.0
3,5.89,122,60,4,0.0
2,5.71,4,33,7,0.6299999999999955
11,9.44,207,91,4,0.0
3,9.21,237,160,8,0.0
4,1.59,344,12,7,40.269999999999996
15,6.76,7,98,7,0.0
1,6.45,276,144,8,0.0
10,3.46,292,131,2,0.0
7,8.3,181,99,2,0.0
11,9.13,16,83,6,0.0
3,2.55,4,64,7,0.0
4,6.14,88,151,1,0.0
5,6.91,81,166,8,0.0
3,8.75,332,162,5,0.0
17,6.88,218,48,5,52.139999999999986
12,5.54,154,26,7,64.12
12,8.17,194,160,1,0.0
17,6.57,228,2,9,100.0
12,1.74,20,147,7,0.0
14,6.71,267,66,5,0.6299999999999955
16,9.32,286,110,3,0.0
15,4.97,154,173,7,0.0
19,6.11,206,132,9,0.0
6,5.76,161,12,5,65.78
12,4.85,80,12,10,85.55
6,4.64,120,169,4,0.0
2,3.01,271,162,2,0.0
11,3.04,329,50,2,11.120000000000005
19,5.11,152,115,1,0.0
0,3.87,283,119,3,0.0
8,2.03,20,87,10,0.0
1,8.3,263,29,1,20.400000000000006
6,1.27,254,146,1,0.0
2,6.93,59,4,5,65.28999999999999
19,6.27,298,103,3,0.0
19,5.14,36,140,8,0.0
11,1.29,114,96,3,0.0
7,1.14,82,29,7,19.92
20,8.2,32,28,9,100.0
3,6.34,4,171,7,0.0
5,5.45,146,157,4,0.0
15,8.91,134,24,5,96.22999999999999
15,9.07,271,148,8,0.0
9,3.59,57,79,10,0.0
8,9.77,215,48,3,18.810000000000002
14,1.93,59,97,9,0.0
14,4.37,194,13,3,100.0
8,5.48,258,5,2,93.44
4,1.5,217,127,6,0.0
18,3.99,280,91,3,0.0
5,10.0,207,29,1,45.5
7,9.04,312,33,1,44.620000000000005
5,5.98,15,25,10,27.939999999999998
2,5.13,300,82,3,0.0
14,4.51,162,147,10,0.0
11,5.55,120,61,2,0.0
11,1.36,292,53,6,0.0
4,3.79,245,48,6,0.0
10,3.35,201,134,2,0.0
5,7.9,29,162,7,0.0
10,3.93,197,94,1,0.0
16,7.52,350,26,5,93.06
2,1.44,294,68,3,0.0
15,5.92,227,46,9,37.25999999999999
8,6.62,27,159,3,0.0
17,7.27,345,125,3,0.0
15,3.02,89,37,3,55.56
5,6.01,24,3,9,73.53
19,8.26,244,91,6,0.0
12,5.05,115,2,2,100.0
6,9.05,148,57,9,0.0
9,7.09,225,0,2,100.0
18,3.18,17,164,6,0.0
2,3.85,85,129,9,0.0
6,3.78,42,10,7,60.84
10,2.53,92,154,3,0.0
1,2.9,128,166,4,0.0
6,6.49,180,141,8,0.0
20,1.72,39,31,10,78.16
0,1.08,239,55,3,0.0
20,9.1,287,115,7,0.0
1,6.43,242,38,8,0.0
18,4.6,201,74,2,2.8000000000000114
1,5.1,364,97,4,0.0
11,4.1,116,129,7,0.0
19,9.61,337,45,8,71.82999999999998
10,6.99,293,146,4,0.0
18,6.52,35,62,8,23.560000000000002
17,7.85,272,11,3,100.0
0,1.85,221,68,1,0.0
0,6.64,39,100,9,0.0
3,9.23,21,1,5,83.19
5,7.46,339,55,8,0.0
17,2.44,26,31,4,74.32
12,1.07,161,38,7,26.709999999999994
9,1.97,278,46,4,2.9099999999999966
11,7.26,182,37,4,46.78
1,5.59,40,62,7,0.0
15,8.18,38,37,9,62.03999999999999
11,2.06,301,139,9,0.0
8,8.85,313,98,8,0.0
9,7.01,159,44,7,17.53
7,9.12,102,157,9,0.0
10,8.89,200,21,4,78.67
18,3.52,150,14,6,100.0
18,5.51,79,82,10,0.0
1,8.51,166,61,3,0.0
1,2.73,118,20,9,9.689999999999998
8,8.48,99,154,4,0.0
11,1.6,149,44,6,12.799999999999997
6,1.8,106,111,9,0.0
6,1.78,210,96,5,0.0
2,7.49,9,118,7,0.0
11,1.63,27,152,5,0.0
9,8.15,113,101,2,0.0
14,4.8,358,117,5,0.0
2,9.24,287,71,1,0.0
6,6.73,21,87,10,0.0
14,7.6,343,128,6,0.0
18,5.55,339,167,6,0.0
10,1.74,204,76,3,0.0
11,2.74,288,112,5,0.0
4,8.47,78,37,5,13.909999999999997
6,9.19,352,149,5,0.0
16,4.47,129,50,10,28.409999999999997
16,5.84,209,69,1,8.02000000000001
1,1.03,256,29,8,0.0
8,7.89,317,75,6,0.0
12,4.33,189,24,7,64.49
6,5.02,98,165,1,0.0
14,7.25,37,5,10,100.0
7,8.85,107,124,2,0.0
4,5.66,160,156,4,0.0
15,4.32,132,108,7,0.0
18,8.77,210,179,8,0.0
7,7.33,241,175,10,0.0
6,1.51,1,95,1,0.0
17,1.57,138,31,7,67.21000000000001
16,6.68,49,170,9,0.0
17,7.83,58,130,8,0.0
0,5.99,202,80,4,0.0
14,8.22,158,121,1,0.0
9,1.27,204,119,4,0.0
19,8.31,84,154,6,0.0
3,4.65,68,100,2,0.0
2,6.43,109,59,5,0.0
17,4.28,340,137,4,0.0
16,8.48,361,148,9,0.0
10,1.39,342,81,9,0.0
7,8.43,304,29,6,43.28999999999999
0,2.92,137,167,9,0.0
5,4.27,311,176,2,0.0
4,2.05,176,119,4,0.0
11,3.51,96,87,6,0.0
0,3.51,227,169,2,0.0
7,8.2,4,48,1,12.099999999999994
9,6.93,126,71,8,0.0
1,4.82,304,84,9,0.0
11,2.26,127,41,10,14.780000000000001
17,4.92,288,96,3,0.0
8,9.65,316,165,4,0.0
2,4.96,29,175,8,0.0
4,9.62,294,1,10,81.86
20,3.55,338,67,5,19.150000000000006
8,6.84,319,109,1,0.0
8,3.92,102,78,7,0.0
16,3.78,12,136,1,0.0
1,7.72,229,177,10,0.0
0,1.89,340,164,3,0.0
15,2.59,281,112,2,0.0
4,1.26,231,84,9,0.0
11,9.09,253,82,9,0.0
10,4.39,294,34,3,40.67
18,8.62,81,25,1,100.0
8,1.64,20,89,2,0.0
17,3.01,47,120,4,0.0
11,1.1,87,76,5,0.0
20,3.64,132,6,1,100.0
9,6.41,26,146,1,0.0
10,1.25,315,157,10,0.0
